#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
0.5816	77.440	0.259
0.5832	76.934	0.261
0.5848	75.788	0.256
0.5864	77.201	0.259
0.5880	75.452	0.253
0.5896	75.904	0.256
0.5912	74.915	0.254
0.5928	75.983	0.256
0.5944	75.289	0.255
0.5960	73.951	0.249
0.5975	74.930	0.252
0.5991	74.386	0.250
0.6007	73.439	0.251
0.6023	73.885	0.250
0.6039	72.711	0.247
0.6055	72.556	0.248
0.6071	72.177	0.244
0.6087	72.022	0.245
0.6103	72.328	0.246
0.6119	71.535	0.244
0.6135	71.524	0.245
0.6151	70.761	0.240
0.6167	70.086	0.241
0.6183	70.204	0.240
0.6199	69.232	0.237
0.6215	68.809	0.239
0.6231	69.320	0.235
0.6247	68.396	0.237
0.6263	68.129	0.234
0.6279	67.878	0.235
0.6295	67.216	0.233
0.6311	66.981	0.232
0.6327	66.713	0.233
0.6343	65.845	0.229
0.6359	66.002	0.230
0.6375	65.417	0.227
0.6391	64.771	0.226
0.6407	64.645	0.228
0.6423	64.306	0.225
0.6439	63.572	0.226
0.6455	63.145	0.222
0.6471	63.168	0.221
0.6487	62.150	0.223
0.6503	62.115	0.218
0.6519	61.049	0.221
0.6535	61.284	0.217
0.6551	60.222	0.216
0.6567	60.186	0.215
0.6583	59.455	0.214
0.6599	58.854	0.215
0.6614	58.702	0.210
0.6630	58.105	0.211
0.6646	57.800	0.210
0.6662	57.088	0.208
0.6678	56.378	0.208
0.6694	56.074	0.205
0.6710	55.887	0.206
0.6726	55.135	0.204
0.6742	54.947	0.203
0.6758	54.431	0.203
0.6774	53.948	0.199
0.6790	53.601	0.201
0.6806	53.071	0.199
0.6822	52.274	0.197
0.6838	52.044	0.196
0.6854	51.222	0.196
0.6870	51.282	0.195
0.6886	50.540	0.193
0.6902	51.023	0.193
0.6918	50.046	0.192
0.6934	49.612	0.191
0.6950	49.119	0.190
0.6966	48.737	0.187
0.6982	48.808	0.189
0.6998	47.718	0.185
0.7014	47.876	0.186
0.7030	47.452	0.185
0.7046	46.576	0.182
0.7062	46.811	0.185
0.7078	46.270	0.181
0.7094	46.137	0.183
0.7110	45.322	0.179
0.7126	44.872	0.180
0.7142	45.109	0.180
0.7158	44.451	0.176
0.7174	44.177	0.178
0.7190	43.796	0.176
0.7206	43.356	0.175
0.7222	43.518	0.176
0.7238	42.797	0.172
0.7253	42.770	0.174
0.7269	42.089	0.171
0.7285	42.152	0.172
0.7301	41.540	0.170
0.7317	41.111	0.168
0.7333	41.171	0.170
0.7349	40.651	0.166
0.7365	40.882	0.169
0.7381	39.884	0.165
0.7397	39.824	0.165
0.7413	39.525	0.165
0.7429	38.908	0.163
0.7445	39.173	0.164
0.7461	38.181	0.161
0.7477	38.675	0.163
0.7493	38.179	0.161
0.7509	37.725	0.160
0.7525	37.515	0.160
0.7541	37.027	0.157
0.7557	36.991	0.157
0.7573	36.714	0.157
0.7589	36.093	0.156
0.7605	36.409	0.157
0.7621	35.603	0.153
0.7637	35.315	0.154
0.7653	35.783	0.153
0.7669	34.910	0.152
0.7685	34.910	0.152
0.7701	34.196	0.150
0.7717	34.216	0.151
0.7733	34.272	0.149
0.7749	33.720	0.149
0.7765	33.716	0.148
0.7781	33.477	0.148
0.7797	32.961	0.147
0.7813	32.886	0.146
0.7829	32.531	0.146
0.7845	32.483	0.144
0.7860	32.221	0.144
0.7876	32.056	0.145
0.7892	31.667	0.142
0.7908	31.510	0.143
0.7924	31.250	0.140
0.7940	31.163	0.142
0.7956	30.931	0.140
0.7972	30.806	0.140
0.7988	30.410	0.139
0.8004	29.863	0.137
0.8020	29.923	0.138
0.8036	29.713	0.137
0.8052	29.511	0.136
0.8068	29.177	0.136
0.8084	28.983	0.135
0.8100	28.925	0.136
0.8116	28.489	0.133
0.8132	28.229	0.132
0.8148	28.117	0.133
0.8164	28.278	0.132
0.8180	27.952	0.133
0.8196	27.325	0.129
0.8212	27.057	0.130
0.8228	26.723	0.128
0.8244	26.408	0.128
0.8260	26.273	0.127
0.8276	25.756	0.125
0.8292	25.654	0.126
0.8308	25.431	0.125
0.8324	25.082	0.123
0.8340	25.153	0.124
0.8356	24.611	0.122
0.8372	24.578	0.122
0.8388	24.566	0.122
0.8404	24.122	0.121
0.8420	24.012	0.120
0.8436	23.822	0.119
0.8452	23.488	0.119
0.8467	23.585	0.119
0.8483	23.300	0.121
0.8499	22.808	0.118
0.8515	22.902	0.119
0.8531	22.497	0.118
